d_date_id,Numerator,d_level0_id,Denominator,d_kpi_id,d_level1_id,d_level2_id
20211019,5154879686.200031,1,0,22,7,1
20211020,5407319456.250711,1,0,22,7,1
20211021,4427799585.29392,1,0,22,7,1
20211022,4142775785.3194513,1,0,22,7,1
20211023,4200981800.2382545,1,0,22,7,1
20211024,4346480263.311393,1,0,22,7,1
20211025,4495383586.300903,1,0,22,7,1
20211026,4877149415.239923,1,0,22,7,1
20211027,5231024724.306002,1,0,22,7,1
20211028,5267578171.966081,1,0,22,7,1
20211029,5273058858.012175,1,0,22,7,1
20211030,4968846820.054506,1,0,22,7,1
20211031,5070099020.496891,1,0,22,7,1
20211101,5252543243.72383,1,0,22,7,1
20211102,5088735951.244272,1,0,22,7,1
20211103,5130026942.189544,1,0,22,7,1
20211104,5009698489.061848,1,0,22,7,1
20211105,5130055859.109456,1,0,22,7,1
20211106,4969899834.592434,1,0,22,7,1
20211107,5193020701.415968,1,0,22,7,1
20211108,5316061750.684704,1,0,22,7,1
20211109,5674046145.708244,1,0,22,7,1
20211110,5391337981.117392,1,0,22,7,1
20211111,5100160966.789974,1,0,22,7,1
20211112,4991901418.91411,1,0,22,7,1
20211113,5153280607.92615,1,0,22,7,1
20211114,5192348178.101001,1,0,22,7,1
20211115,5203588486.275082,1,0,22,7,1
20211116,4961423000.431392,1,0,22,7,1
20211117,4745559808.662515,1,0,22,7,1
20211118,4689605418.240347,1,0,22,7,1
20211119,4257325549.799182,1,0,22,7,1
20211120,4635550099.0890875,1,0,22,7,1
20211121,4692095606.587612,1,0,22,7,1
20211122,4429636840.023662,1,0,22,7,1
20211123,4167901296.494905,1,0,22,7,1
20211124,4574117944.505178,1,0,22,7,1
20211125,4853107839.632672,1,0,22,7,1
20211126,4854987309.939555,1,0,22,7,1
20211127,4372552353.78792,1,0,22,7,1
20211128,4357267091.36402,1,0,22,7,1
20211129,4457737702.968267,1,0,22,7,1
20211130,4573660957.231101,1,0,22,7,1
20211201,4595911255.3099165,1,0,22,7,1
20211202,4641325974.660077,1,0,22,7,1
20211203,4599735735.224336,1,0,22,7,1
20211204,4433593145.992671,1,0,22,7,1
20211205,4048834969.4859757,1,0,22,7,1
20211206,3841791383.8047814,1,0,22,7,1
20211207,3907169103.301134,1,0,22,7,1
20211208,3908289553.020523,1,0,22,7,1
20211209,3980174633.674931,1,0,22,7,1
20211210,3837801463.8694544,1,0,22,7,1
20211211,3830649296.557178,1,0,22,7,1
20211212,3913477309.023089,1,0,22,7,1
20211213,3901222759.3619657,1,0,22,7,1
20211214,3631376104.3307447,1,0,22,7,1
20211215,3718327229.323951,1,0,22,7,1
20211216,3949908223.2782536,1,0,22,7,1
20211217,3821350323.617566,1,0,22,7,1
20211218,3816608127.269201,1,0,22,7,1
