d_date_id,Numerator,d_level0_id,Denominator,d_kpi_id,d_level1_id,d_level2_id
20190912,437105242.46305084,1,0,22,2,1
20190913,439301006.28728664,1,0,22,2,1
20190914,444303049.37561905,1,0,22,2,1
20190915,443846428.19346213,1,0,22,2,1
20190916,463027764.40305984,1,0,22,2,1
20190917,475705399.82893306,1,0,22,2,1
20190918,489380673.19357836,1,0,22,2,1
20190919,512192087.87745565,1,0,22,2,1
20190920,507316803.3747187,1,0,22,2,1
20190921,525964504.19748425,1,0,22,2,1
20190922,521737600.1553576,1,0,22,2,1
20190923,511752733.91683817,1,0,22,2,1
20190924,508589383.63577,1,0,22,2,1
20190925,479854945.0064637,1,0,22,2,1
20190926,419781413.9197795,1,0,22,2,1
20190927,430558486.47548413,1,0,22,2,1
20190928,435489668.1866118,1,0,22,2,1
20190929,452411042.7155572,1,0,22,2,1
20190930,444355451.30424535,1,0,22,2,1
20191001,448844437.0359003,1,0,22,2,1
20191002,462916602.4264716,1,0,22,2,1
20191003,456114081.10455775,1,0,22,2,1
20191004,457463617.38916945,1,0,22,2,1
20191005,455117554.21520114,1,0,22,2,1
20191006,454603161.1712879,1,0,22,2,1
20191007,450389169.21055025,1,0,22,2,1
20191008,453173412.5231336,1,0,22,2,1
20191009,470371925.1140622,1,0,22,2,1
20191010,480976641.33262503,1,0,22,2,1
20191011,498275034.3794145,1,0,22,2,1
20191012,488657421.55881125,1,0,22,2,1
20191013,485454137.0777433,1,0,22,2,1
20191014,482396125.5027392,1,0,22,2,1
20191015,485902720.2494505,1,0,22,2,1
20191016,489271281.04327625,1,0,22,2,1
20191017,469662766.37367284,1,0,22,2,1
20191018,477060079.8434055,1,0,22,2,1
20191019,474874218.572372,1,0,22,2,1
20191020,477113167.19831437,1,0,22,2,1
20191021,473488933.96700484,1,0,22,2,1
20191022,482262007.4421783,1,0,22,2,1
20191023,489623292.932028,1,0,22,2,1
20191024,506217741.8739629,1,0,22,2,1
20191025,477758881.333312,1,0,22,2,1
20191026,496579015.2588624,1,0,22,2,1
20191027,552402385.1363431,1,0,22,2,1
20191028,569429895.6681185,1,0,22,2,1
20191029,583420862.9863471,1,0,22,2,1
20191030,595662911.1125287,1,0,22,2,1
20191031,573765290.1498158,1,0,22,2,1
20191101,544804883.6943661,1,0,22,2,1
20191102,548951987.0249641,1,0,22,2,1
20191103,550979774.4581742,1,0,22,2,1
20191104,548333787.3945096,1,0,22,2,1
20191105,587547222.7190286,1,0,22,2,1
20191106,584495180.1280841,1,0,22,2,1
20191107,585756349.8035985,1,0,22,2,1
20191108,580305833.7346008,1,0,22,2,1
20191109,592038351.9680367,1,0,22,2,1
20191110,591484347.9759493,1,0,22,2,1
20191111,583551587.3258907,1,0,22,2,1
20191112,585979231.7461505,1,0,22,2,1
20191113,599998211.7832402,1,0,22,2,1
20191114,592593633.4671459,1,0,22,2,1
20191115,587105227.1228018,1,0,22,2,1
20191116,575694237.3194906,1,0,22,2,1
20191117,555186471.0273501,1,0,22,2,1
20191118,585460134.776417,1,0,22,2,1
20191119,598402576.1970803,1,0,22,2,1
20191120,585596285.0805776,1,0,22,2,1
20191121,602370242.5163529,1,0,22,2,1
20191122,597947338.8653862,1,0,22,2,1
20191123,560974266.921052,1,0,22,2,1
20191124,567347366.3895828,1,0,22,2,1
20191125,572148056.8199539,1,0,22,2,1
20191126,582083133.9661763,1,0,22,2,1
20191127,606887780.9920827,1,0,22,2,1
20191128,611170771.3283821,1,0,22,2,1
20191129,656771217.706704,1,0,22,2,1
20191130,638375845.9896573,1,0,22,2,1
20191201,620387983.6324016,1,0,22,2,1
20191202,604117788.1742126,1,0,22,2,1
20191203,595822985.7241948,1,0,22,2,1
20191204,617901432.0294563,1,0,22,2,1
20191205,614151915.9355631,1,0,22,2,1
20191206,619863324.6045856,1,0,22,2,1
20191207,614226026.0518624,1,0,22,2,1
20191208,617885336.3636308,1,0,22,2,1
20191209,611213434.7081398,1,0,22,2,1
20191210,639757021.6356561,1,0,22,2,1
20191211,626886211.0382816,1,0,22,2,1
20191212,613360567.1486436,1,0,22,2,1
20191213,614253038.7516999,1,0,22,2,1
20191214,625874672.168554,1,0,22,2,1
20191215,617888344.4345663,1,0,22,2,1
20191216,630658483.5628852,1,0,22,2,1
20191217,630520758.8474127,1,0,22,2,1
20191218,609207097.0654306,1,0,22,2,1
20191219,573434955.7668257,1,0,22,2,1
20191220,605391881.925222,1,0,22,2,1
20191221,613476469.5582541,1,0,22,2,1
20191222,615772328.7608076,1,0,22,2,1
20191223,621979441.4655286,1,0,22,2,1
20191224,636154215.0757531,1,0,22,2,1
20191225,622492406.6439523,1,0,22,2,1
20191226,616503556.7556529,1,0,22,2,1
20191227,614066663.6835331,1,0,22,2,1
20191228,605788776.092108,1,0,22,2,1
20191229,618880279.6533893,1,0,22,2,1
20191230,622748813.1376933,1,0,22,2,1
20191231,635330009.9281731,1,0,22,2,1
20200101,630256116.1408342,1,0,22,2,1
20200102,630280039.9781222,1,0,22,2,1
20200103,624668137.3882036,1,0,22,2,1
20200104,633498063.062361,1,0,22,2,1
20200105,635616183.7455039,1,0,22,2,1
20200106,639741701.5506052,1,0,22,2,1
20200107,654415578.8840553,1,0,22,2,1
20200108,640899039.4416481,1,0,22,2,1
20200109,667594466.4557991,1,0,22,2,1
20200110,625459174.0485355,1,0,22,2,1
20200111,625076862.0611334,1,0,22,2,1
20200112,648306671.6882224,1,0,22,2,1
20200113,630535233.279511,1,0,22,2,1
20200114,650786654.6196349,1,0,22,2,1
20200115,687056755.9584765,1,0,22,2,1
20200116,748252468.977112,1,0,22,2,1
20200117,729165211.3155968,1,0,22,2,1
20200118,766003335.2646304,1,0,22,2,1
20200119,758847516.3154762,1,0,22,2,1
20200120,753855102.080276,1,0,22,2,1
20200121,722981666.0328482,1,0,22,2,1
20200122,756929912.4629633,1,0,22,2,1
20200123,755231997.9846027,1,0,22,2,1
20200124,744516702.3884374,1,0,22,2,1
20200125,736935176.3909276,1,0,22,2,1
20200126,734036690.0224997,1,0,22,2,1
20200127,742364859.8301133,1,0,22,2,1
20200128,772583887.3397038,1,0,22,2,1
20200129,805164314.3436542,1,0,22,2,1
20200130,820297727.0284615,1,0,22,2,1
20200131,823983173.855615,1,0,22,2,1
20200201,836630770.9206924,1,0,22,2,1
20200202,847459547.2767991,1,0,22,2,1
20200203,868778437.9220414,1,0,22,2,1
20200204,859745870.5779498,1,0,22,2,1
20200205,854237351.7641221,1,0,22,2,1
20200206,889209423.8012999,1,0,22,2,1
20200207,926807559.9070252,1,0,22,2,1
20200208,960422543.3865497,1,0,22,2,1
20200209,967726367.3468968,1,0,22,2,1
20200210,968599446.7805091,1,0,22,2,1
20200211,924247101.3554517,1,0,22,2,1
20200212,964086348.2930759,1,0,22,2,1
20200213,1046655061.6025826,1,0,22,2,1
20200214,1073679772.2915506,1,0,22,2,1
20200215,1107898974.8581657,1,0,22,2,1
20200216,1128865772.0804472,1,0,22,2,1
20200217,1080939645.1336267,1,0,22,2,1
20200218,1027049332.0621985,1,0,22,2,1
20200219,1075772239.006998,1,0,22,2,1
20200220,1049208536.3273773,1,0,22,2,1
20200221,955535451.4711652,1,0,22,2,1
20200222,984913519.228722,1,0,22,2,1
20200223,849151243.7322735,1,0,22,2,1
20200224,1016395901.928359,1,0,22,2,1
20200225,1023700876.4900371,1,0,22,2,1
20200226,994597176.9280467,1,0,22,2,1
20200227,913565435.7092857,1,0,22,2,1
20200228,903744803.1173025,1,0,22,2,1
20200229,879343743.6353846,1,0,22,2,1
20200301,902093912.3029726,1,0,22,2,1
20200302,893300731.687148,1,0,22,2,1
20200303,886917719.6879586,1,0,22,2,1
20200304,912071078.4290577,1,0,22,2,1
20200305,897073963.9229654,1,0,22,2,1
20200306,916317901.5157404,1,0,22,2,1
20200307,928874143.2348331,1,0,22,2,1
20200308,945575685.2818718,1,0,22,2,1
20200309,900106360.2053607,1,0,22,2,1
20200310,826360447.5382589,1,0,22,2,1
20200311,831285546.7738996,1,0,22,2,1
20200312,836755062.0058442,1,0,22,2,1
20200313,591688678.792603,1,0,22,2,1
20200314,553535940.7917125,1,0,22,2,1
20200315,556696443.7806356,1,0,22,2,1
20200316,538923577.8083273,1,0,22,2,1
20200317,455906692.01423424,1,0,22,2,1
20200318,493411283.712122,1,0,22,2,1
20200319,486277471.1942533,1,0,22,2,1
20200320,518981129.2052264,1,0,22,2,1
20200321,580638245.9823135,1,0,22,2,1
20200322,541943740.3514576,1,0,22,2,1
20200323,532798762.5684395,1,0,22,2,1
20200324,521934385.61552894,1,0,22,2,1
20200325,565396099.6371492,1,0,22,2,1
20200326,556541294.2579448,1,0,22,2,1
20200327,571190981.4552883,1,0,22,2,1
20200328,575399697.5758082,1,0,22,2,1
20200329,560498454.2631515,1,0,22,2,1
20200330,558066318.3378698,1,0,22,2,1
20200331,570224619.0791464,1,0,22,2,1
20200401,580291181.7707944,1,0,22,2,1
20200402,585748717.1368318,1,0,22,2,1
20200403,602206250.5460082,1,0,22,2,1
20200404,630651889.0994833,1,0,22,2,1
20200405,620191450.0480939,1,0,22,2,1
20200406,624028472.8987762,1,0,22,2,1
20200407,644709966.9080161,1,0,22,2,1
20200408,691744125.236986,1,0,22,2,1
20200409,676337147.8874265,1,0,22,2,1
20200410,681000152.7714219,1,0,22,2,1
20200411,632418306.1111709,1,0,22,2,1
20200412,638853498.7922379,1,0,22,2,1
20200413,634153859.5967678,1,0,22,2,1
20200414,628934691.3032061,1,0,22,2,1
20200415,636026105.1147912,1,0,22,2,1
20200416,633914452.2527114,1,0,22,2,1
20200417,667111573.1083714,1,0,22,2,1
20200418,677899025.9922743,1,0,22,2,1
20200419,689751823.1962055,1,0,22,2,1
20200420,734344828.4323348,1,0,22,2,1
20200421,712390106.1780514,1,0,22,2,1
20200422,685984741.5473328,1,0,22,2,1
20200423,708584234.6151661,1,0,22,2,1
20200424,721965290.4671613,1,0,22,2,1
20200425,730226412.1811545,1,0,22,2,1
20200426,739507135.9411345,1,0,22,2,1
